 #Energy          XX(%)     YY(%)
 3.311809E+02     0.000     0.000
 3.294123E+02     0.000     0.000
 3.276711E+02     0.000     0.000
 3.259482E+02     0.000     0.000
 3.242434E+02     0.000     0.000
 3.225563E+02     0.000     0.000
 3.208784E+02     0.000     0.000
 3.192260E+02     0.000     0.000
 3.175906E+02     0.000     0.000
 3.159718E+02     0.000     0.000
 3.143695E+02     0.000     0.000
 3.127755E+02     0.000     0.000
 3.112053E+02     0.000     0.000
 3.096508E+02     0.000     0.000
 3.081118E+02     0.000     0.000
 3.065880E+02     0.000     0.000
 3.050717E+02     0.000     0.000
 3.035778E+02     0.000     0.000
 3.020984E+02     0.000     0.000
 3.006333E+02     0.000     0.000
 2.991824E+02     0.000     0.000
 2.977383E+02     0.000     0.000
 2.963152E+02     0.000     0.000
 2.949056E+02     0.000     0.000
 2.935093E+02     0.000     0.000
 2.921262E+02     0.000     0.000
 2.907492E+02     0.000     0.000
 2.893919E+02     0.000     0.000
 2.880473E+02     0.000     0.000
 2.867151E+02     0.000     0.000
 2.853951E+02     0.000     0.000
 2.840807E+02     0.000     0.000
 2.827849E+02     0.000     0.000
 2.815008E+02     0.000     0.000
 2.802283E+02     0.000     0.000
 2.789672E+02     0.000     0.000
 2.777113E+02     0.000     0.000
 2.764727E+02     0.000     0.000
 2.752452E+02     0.000     0.000
 2.740285E+02     0.000     0.000
 2.728225E+02     0.000     0.000
 2.716212E+02     0.000     0.000
 2.704362E+02     0.000     0.000
 2.692616E+02     0.000     0.000
 2.680971E+02     0.000     0.000
 2.669427E+02     0.000     0.000
 2.657924E+02     0.000     0.000
 2.646577E+02     0.000     0.000
 2.635326E+02     0.000     0.000
 2.624171E+02     0.000     0.000
 2.613109E+02     0.000     0.000
 2.602086E+02     0.000     0.000
 2.591209E+02     0.000     0.000
 2.580424E+02     0.000     0.000
 2.569727E+02     0.000     0.000
 2.559119E+02     0.000     0.000
 2.548546E+02     0.000     0.000
 2.538111E+02     0.000     0.000
 2.527762E+02     0.000     0.000
 2.517497E+02     0.000     0.000
 2.507314E+02     0.000     0.000
 2.497164E+02     0.000     0.000
 2.487145E+02     0.000     0.000
 2.477207E+02     0.000     0.000
 2.467347E+02     0.000     0.000
 2.457566E+02     0.000     0.000
 2.447813E+02     0.000     0.000
 2.438186E+02     0.000     0.000
 2.428634E+02     0.000     0.000
 2.419157E+02     0.000     0.000
 2.409753E+02     0.000     0.000
 2.400375E+02     0.000     0.000
 2.391117E+02     0.000     0.000
 2.381929E+02     0.000     0.000
 2.372812E+02     0.000     0.000
 2.363765E+02     0.000     0.000
 2.354741E+02     0.000     0.000
 2.345831E+02     0.000     0.000
 2.336987E+02     0.000     0.000
 2.328210E+02     0.000     0.000
 2.319499E+02     0.000     0.000
 2.310810E+02     0.000     0.000
 2.302228E+02     0.000     0.000
 2.293710E+02     0.000     0.000
 2.285254E+02     0.000     0.000
 2.276861E+02     0.000     0.000
 2.268488E+02     0.000     0.000
 2.260217E+02     0.000     0.000
 2.252006E+02     0.000     0.000
 2.243855E+02     0.000     0.000
 2.235762E+02     0.000     0.000
 2.227688E+02     0.000     0.000
 2.219711E+02     0.000     0.000
 2.211792E+02     0.000     0.000
 2.203928E+02     0.000     0.000
 2.196121E+02     0.000     0.000
 2.188330E+02     0.000     0.000
 2.180632E+02     0.000     0.000
 2.172988E+02     0.000     0.000
 2.165398E+02     0.000     0.000
 2.157861E+02     0.000     0.000
 2.150338E+02     0.000     0.000
 2.142905E+02     0.000     0.000
 2.135523E+02     0.000     0.000
 2.128192E+02     0.000     0.000
 2.120911E+02     0.000     0.000
 2.113643E+02     0.000     0.000
 2.106461E+02     0.000     0.000
 2.099328E+02     0.000     0.000
 2.092242E+02     0.000     0.000
 2.085205E+02     0.000     0.000
 2.078180E+02     0.000     0.000
 2.071236E+02     0.000     0.000
 2.064339E+02     0.000     0.000
