 #Energy          XX(%)     YY(%)
 1.655882E+02    11.545    11.545
 1.647083E+02    10.878    10.878
 1.638356E+02    10.941    10.941
 1.629741E+02    11.327    11.327
 1.621217E+02    11.736    11.737
 1.612761E+02    11.907    11.907
 1.604413E+02    11.214    11.214
 1.596130E+02     9.963     9.963
 1.587953E+02     8.819     8.819
 1.579859E+02     8.106     8.106
 1.571828E+02     7.834     7.834
 1.563897E+02     7.715     7.715
 1.556027E+02     7.500     7.500
 1.548254E+02     7.405     7.405
 1.540559E+02     7.639     7.639
 1.532921E+02     7.853     7.853
 1.525377E+02     7.656     7.657
 1.517889E+02     7.359     7.359
 1.510492E+02     7.235     7.235
 1.503167E+02     7.273     7.273
 1.495894E+02     7.530     7.530
 1.488709E+02     7.936     7.936
 1.481576E+02     8.114     8.114
 1.474528E+02     7.960     7.961
 1.467546E+02     7.671     7.671
 1.460614E+02     7.521     7.521
 1.453763E+02     7.769     7.769
 1.446960E+02     8.169     8.169
 1.440236E+02     8.155     8.155
 1.433575E+02     7.923     7.923
 1.426959E+02     8.018     8.018
 1.420420E+02     8.600     8.600
 1.413924E+02     9.168     9.168
 1.407504E+02     9.149     9.149
 1.401141E+02     8.950     8.950
 1.394820E+02     9.136     9.136
 1.388572E+02     9.462     9.462
 1.382364E+02     9.418     9.418
 1.376226E+02     9.204     9.204
 1.370142E+02     9.404     9.404
 1.364098E+02     9.925     9.925
 1.358121E+02     9.910     9.910
 1.352181E+02     9.357     9.357
 1.346308E+02     8.982     8.982
 1.340486E+02     8.953     8.953
 1.334699E+02     9.002     9.002
 1.328976E+02     9.220     9.220
 1.323288E+02    10.044    10.044
 1.317663E+02    11.462    11.462
 1.312085E+02    12.498    12.498
 1.306541E+02    12.180    12.179
 1.301057E+02    11.365    11.365
 1.295605E+02    11.071    11.071
 1.290212E+02    11.238    11.238
 1.284864E+02    11.349    11.349
 1.279546E+02    11.202    11.202
 1.274286E+02    11.013    11.013
 1.269056E+02    11.081    11.081
 1.263881E+02    11.351    11.351
 1.258748E+02    11.556    11.556
 1.253645E+02    12.105    12.105
 1.248595E+02    13.124    13.124
 1.243573E+02    13.824    13.824
 1.238603E+02    13.993    13.993
 1.233661E+02    13.800    13.800
 1.228771E+02    13.326    13.326
 1.223919E+02    12.398    12.398
 1.219093E+02    11.216    11.216
 1.214317E+02    10.206    10.206
 1.209566E+02     9.424     9.424
 1.204865E+02     8.886     8.886
 1.200199E+02     8.535     8.535
 1.195558E+02     8.268     8.268
 1.190965E+02     8.237     8.237
 1.186395E+02     8.525     8.525
 1.181871E+02     8.965     8.965
 1.177382E+02     9.499     9.499
 1.172915E+02    10.174    10.174
 1.168494E+02    11.003    11.003
 1.164094E+02    11.933    11.933
 1.159739E+02    12.762    12.762
 1.155416E+02    13.427    13.427
 1.151114E+02    14.000    14.000
 1.146855E+02    14.526    14.526
 1.142617E+02    15.076    15.076
 1.138420E+02    15.544    15.544
 1.134254E+02    15.752    15.752
 1.130108E+02    15.307    15.307
 1.126003E+02    14.290    14.290
 1.121917E+02    13.498    13.498
 1.117871E+02    13.302    13.302
 1.113854E+02    13.356    13.356
 1.109856E+02    13.103    13.103
 1.105896E+02    12.729    12.729
 1.101954E+02    12.680    12.680
 1.098051E+02    12.761    12.761
 1.094174E+02    12.767    12.767
 1.090316E+02    12.773    12.773
 1.086494E+02    12.690    12.690
 1.082690E+02    12.279    12.279
 1.078921E+02    11.787    11.787
 1.075178E+02    11.535    11.535
 1.071452E+02    11.690    11.690
 1.067761E+02    12.184    12.184
 1.064087E+02    12.254    12.254
 1.060446E+02    11.548    11.548
 1.056831E+02    10.724    10.724
 1.053231E+02    10.169    10.169
 1.049664E+02     9.880     9.880
 1.046112E+02     9.920     9.920
 1.042594E+02    10.022    10.022
 1.039098E+02     9.907     9.907
 1.035618E+02     9.834     9.834
 1.032169E+02     9.868     9.868
